Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  Harry S. Truman,1948,s,D,-0.037634292199543506,-0.03525343857499015,0.008434743795264911,5227
  Harry S. Truman,1949,s,D,0.005135226101365499,-0.027296080041958465,-0.012899100335960683,3488
  Harry S. Truman,1950,s,D,-0.05708714382045288,-0.08673438322457365,-0.00010050368167138259,5211
  Harry S. Truman,1951,s,D,0.03889652647431291,-0.0034097983582907568,-0.04756819618749902,4091
  Harry S. Truman,1952,s,D,0.006359353500516687,0.0007647686010913458,-0.09325799775551409,5453
  Harry S. Truman,1953,s,D,0.04769047362728463,-0.17080429759927873,-0.0009321633101291062,9769
  Dwight D. Eisenhower,1953,s,R,0.10665437758807492,-0.028339135862107238,-0.051191290192323345,7107
  Dwight D. Eisenhower,1954,s,R,0.11336672077177241,0.026207781703019687,-0.08605900444069922,6122
  Dwight D. Eisenhower,1955,s,R,0.18481956541006223,-0.0038103431985514642,-0.030638811582068017,7380
  Dwight D. Eisenhower,1956,b,R,-0.08515773478453825,0.12094511415696246,-0.09789479347748758,8382
  Dwight D. Eisenhower,1957,s,R,-0.007841360281610381,0.021480924709076473,-0.07906535468982738,4227
  Dwight D. Eisenhower,1958,s,R,-0.17817726830221248,0.08560854335986343,0.044852146528832224,5071
  Dwight D. Eisenhower,1959,s,R,-0.08729544847920473,-0.07957300667196035,0.008809667997460423,5019
  Dwight D. Eisenhower,1960,s,R,0.07302614411823034,-0.0270921314280066,-0.04070142108004604,5780
  Dwight D. Eisenhower,1961,w,R,-0.1661540832836238,0.006160622292636982,-0.02119995866055149,6342
  John F. Kennedy,1961,s,D,-0.14707464367974346,-0.08568566232748796,0.13819515802790186,5246
  John F. Kennedy,1962,s,D,0.032049819316179104,-0.15387028645814654,-0.019821472626127844,6558
  John F. Kennedy,1963,s,D,-0.13021690960209664,-0.18448475391694608,0.03949230580051534,5420
  Lyndon B. Johnson,1964,s,D,0.012506451558434096,-0.2885233405843679,0.10017336620849213,3263
  Lyndon B. Johnson,1965,s,D,-0.019330796444351057,-0.04916502697883538,-0.10521902382609992,4592
